id,sel_interval,period,step,vol_btc,vol_usd,bal_btc,bal_usd,old_ord,max_usage,margin,per,current_price,start_sum,total_sum,bal_margin,duration
2018_33*w*step1oldord1margin0.02per30,2018_33*w*,1440,1,0.00198,12.50,0.03961,250.00,1,70,0.020,30,6481.99,506.75,525.88,3.64,0:01:05.989883
2018_34*w*step1oldord5margin0.005per30,2018_34*w*,1440,1,0.00193,12.50,0.03856,250.00,5,70,0.005,30,6700.46,508.37,522.24,2.66,0:01:05.807833
2018_35*w*step5oldord1margin0.05per30,2018_35*w*,1440,5,0.00186,12.50,0.03730,250.00,1,70,0.050,30,7290.31,521.93,521.20,-0.14,0:00:57.969388
2018_36*w*step7oldord1margin0.01per30,2018_36*w*,1440,7,0.00171,12.50,0.03428,250.00,1,70,0.010,30,6236.04,463.77,464.02,0.05,0:00:52.380050
2018_37*w*step1oldord1margin0.01per30,2018_37*w*,1440,1,0.00200,12.50,0.04003,250.00,1,70,0.010,30,6499.98,510.19,525.43,2.90,0:01:20.344565
2018_38*w*step1oldord5margin0.05per30,2018_38*w*,1440,1,0.00192,12.50,0.03846,250.00,5,70,0.050,30,6702.22,507.77,523.36,2.98,0:01:23.865560
2018_39*w*step1oldord1margin0.02per30,2018_39*w*,1440,1,0.00186,12.50,0.03729,250.00,1,70,0.020,30,6597.81,496.03,512.04,3.13,0:01:08.722755
2018_40*w*step1oldord5margin0.01per30,2018_40*w*,1440,1,0.00189,12.50,0.03789,250.00,5,70,0.010,30,6577.63,499.23,503.59,0.87,0:01:24.135857
2018_41*w*step1oldord1margin0.05per30,2018_41*w*,1440,1,0.00190,12.50,0.03802,250.00,1,70,0.050,30,6183.00,485.08,485.25,0.04,0:01:03.526968
2018_42*w*step1oldord5margin0.05per30,2018_42*w*,1440,1,0.00202,12.50,0.04044,250.00,5,70,0.050,30,6413.38,509.36,510.88,0.30,0:01:01.903389
2018_43*w*step1oldord5margin0.005per30,2018_43*w*,1440,1,0.00195,12.50,0.03899,250.00,5,70,0.005,30,6405.57,499.75,502.34,0.52,0:01:10.394317
2018_44*w*step1oldord5margin0.02per30,2018_44*w*,1440,1,0.00195,12.50,0.03904,250.00,5,70,0.020,30,6421.76,500.71,505.24,0.90,0:01:23.109883
2018_45*w*step1oldord5margin0.005per30,2018_45*w*,1440,1,0.00194,12.50,0.03889,250.00,5,70,0.005,30,6357.54,497.24,502.41,1.03,0:01:07.921932
2018_46*w*step5oldord1margin0.05per30,2018_46*w*,1440,5,0.00196,12.50,0.03928,250.00,1,70,0.050,30,5559.26,468.37,467.58,-0.17,0:00:57.300668
2018_47*w*step7oldord1margin0.05per30,2018_47*w*,1440,7,0.00225,12.50,0.04499,250.00,1,70,0.050,30,3938.89,427.21,416.44,-2.59,0:00:42.870483
2018_48*w*step1oldord5margin0.05per30,2018_48*w*,1440,1,0.00317,12.50,0.06348,250.00,5,70,0.050,30,4102.05,510.40,542.10,5.85,0:01:06.653974
2018_49*w*step3oldord1margin0.05per30,2018_49*w*,1440,3,0.00304,12.50,0.06087,250.00,1,70,0.050,30,3529.75,464.86,471.27,1.36,0:00:58.842257
2018_50*w*step7oldord1margin0.01per30,2018_50*w*,1440,7,0.00354,12.50,0.07080,250.00,1,70,0.010,30,3193.78,476.12,478.48,0.49,0:00:50.762002
2018_51*w*step7oldord1margin0.025per30,2018_51*w*,1440,7,0.00392,12.50,0.07831,250.00,1,70,0.025,30,3943.83,558.84,554.51,-0.78,0:00:48.447508
2018_52*w*step1oldord5margin0.005per30,2018_52*w*,1440,1,0.00317,12.50,0.06333,250.00,5,70,0.005,30,3835.79,492.92,501.37,1.69,0:01:08.063233
2019_01*w*step7oldord1margin0.05per30,2019_01*w*,1440,7,0.00338,12.50,0.06770,250.00,1,70,0.050,30,7168.36,735.30,717.47,-2.49,0:01:00.250845
2019_02*w*step7oldord1margin0.02per30,2019_02*w*,1440,7,0.00309,12.50,0.06183,250.00,1,70,0.020,30,3515.95,467.39,466.37,-0.22,0:00:40.932509
2019_03*w*step3oldord5margin0.025per30,2019_03*w*,1440,3,0.00356,12.50,0.07113,250.00,5,70,0.025,30,3536.72,501.57,512.55,2.14,0:01:08.233785
2019_04*w*step1oldord5margin0.015per30,2019_04*w*,1440,1,0.00353,12.50,0.07060,250.00,5,70,0.015,30,3533.23,499.45,513.67,2.77,0:01:23.301677
2019_05*w*step1oldord1margin0.005per30,2019_05*w*,1440,1,0.00354,12.50,0.07080,250.00,1,70,0.005,30,3414.82,491.77,501.27,1.90,0:01:18.140934
2019_06*w*step3oldord1margin0.01per30,2019_06*w*,1440,3,0.00366,12.50,0.07324,250.00,1,70,0.010,30,3650.37,517.35,519.98,0.51,0:01:04.275740
